// race-specific variables (must start with _)
_empire                           | 蚁族巢穴, 克拉肯巢穴, 克洛克巢穴, 节肢族巢穴, 鞘翅族巢穴
_race                             | 蚁族, 克拉肯族, 克洛克族, 节肢族, 鞘翅族
_race_plural                      | 蚁族, 克拉肯族, 克洛克族, 节肢族, 鞘翅族
_title                            | 统治者
_nameTitle                        |

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | [player_name]
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 我的飞船终于完工了。我必须使用我的侦察机为我的殖民飞船寻找新的世界。
MAIN_ADVISOR_TRANSPORT            | 我已经在这个新世界建立了自己的地盘。我必须从我的家乡派出更多蚁族来扩展它。这里没有新的生命，所以我的探索还在继续。
MAIN_ADVISOR_DIPLOMACY            | 终于迎来新的生命！通过声音和手势进行交流是一种多么奇怪的生命形式。在采取下一步行动之前，我必须研究有关他们的外交和情报信息。
MAIN_ADVISOR_SHIP_ENGINE          | 我继续改进我的航天器引擎。我必须重新审视我的船舶设计了，将它整合到我的舰队中。

MAIN_ADVISOR_RALLY_POINTS         | 他们为什么要攻击我？我不明白。我必须为我的船只选择一个集结点来保护自己，同时我得试图理解为什么会发生这种情况。
MAIN_ADVISOR_MISSILE_BASES        | 我现在发现了，并不是所有生命都学会了合作的好处。我必须用导弹基地武装我的外部世界，以确保我领地的安全。
MAIN_ADVISOR_SHIP_WEAPON          | 我继续前进，一旦我将它们集成到我的舰船设计中，我的新武器技术就会赋予我更多的力量。
MAIN_ADVISOR_COUNCIL              | 激动！许多物种的会议很快就会举行。那里会聚集哪些生命体？如果我让认识的种族都对我产生好感，也许他们会更主动地把我给介绍给新的种族。
MAIN_ADVISOR_REBELLION            | 发生了什么？我在%1失去了对自己的控制。无论如何，我需要亲自去到那里，并找回自己的控制。

MAIN_ADVISOR_RESIST_COUNCIL       | 不可能！另一个生命被选中来统治这些愚蠢的傻瓜，而我的智慧却被忽视了！不管怎样：我会立即将他们全部消灭！
MAIN_ADVISOR_COUNCIL_RESISTED     | 为什么这些傻瓜坚持做让人讨厌的事情？议会是我的，银河系是我的，现在他们将知道他们确实在我的统治下！

MAIN_SCOUT_TITLE                  | 我发现了一个新的星球。
MAIN_COLONIZE_TITLE               | 我正在环绕%1飞行，这是一个没有被殖民的星球。
MAIN_COLONIZE_ANIMATION_TITLE     | 在%1年，我建立了一个新的殖民地。
MAIN_ALERT_SPY_CAPTURED           | 我逮住了一个来自[alien_empire]的间谍，他坦白了他们的%2活动。
MAIN_ALERT_TRANSPORTS_KILLED      | 我想要抵达%1的尝试被在那里防御的[alien_race]军队阻止了。
MAIN_ALERT_INVADERS_KILLED        | %2个[alien_race]军队想要入侵%1，他们被我彻底毁灭了。

MAIN_BOMBARD_TITLE                | 我正在环绕敌人[alien_race]的殖民地。
TECH_RESEARCH_COMPUTER            | 我必须选择下一个需要研究的计算科学。
TECH_RESEARCH_CONSTRUCTION        | 我必须选择下一个需要研究的制造技术。
TECH_RESEARCH_FORCE_FIELD         | 我必须选择下一个需要研究的力场技术。
TECH_RESEARCH_PLANETOLOGY         | 我必须选择下一个需要研究的行星学技术。
TECH_RESEARCH_PROPULSION          | 我必须选择下一个需要研究的动力学技术。
TECH_RESEARCH_WEAPON              | 我必须选择下一个需要研究的武器技术。
TECH_DISCOVERY_TITLE              | 我获得了一个%1突破。
TECH_SCOUTED_TITLE                | 在探索%1的遗迹时，我发现了一个新的科技。
TECH_STOLEN_TITLE                 | 我成功潜入了位于%2的%1研究所。
TECH_TRADED_TITLE                 | 我从[alien_race]学会了科技。
TECH_PLUNDERED_TITLE              | 在掠夺%1的遗迹时，我发现了一个新技术。
TECH_ALLOCATE_SHIELD              | 我是否应该提高各个殖民地的防御开支占比，以建造新的护盾呢？
TECH_ALLOCATE_MISSILE_BASES       | 我是否应该提高各个殖民地的防御开支占比，以升级导弹基地呢？
TECH_ALLOCATE_FACTORIES           | 我是否应该提高各个殖民地的工业开支占比，以升级工厂呢？
TECH_ALLOCATE_CLEAN_WASTE         | 我是否应该减少各个殖民地的生态开支占比，只保持各个星球的干净呢？
TECH_ALLOCATE_ENRICH_SOIL         | 我是否应该提高普通环境殖民地的生态开支占比，来开始行星改造呢？
TECH_ALLOCATE_ATMOSPHERE          | 我是否应该提高恶劣环境殖民地的生态开支占比，以开始行星的生态改造呢？
